file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\client\result\InsertOneResult.java,com.mongodb.client.result.InsertOneResult$AcknowledgedInsertOneResult,innerclass,4,4,0,4,9,2,0,3,0,0.16666667,0.6666667,0.6666667,6,0,5,0,0,1,6,0,0,0,1,0,0,1,0,0,1,0,2,28,7,0,3,0,0,2,0,2,2,2,1,0,0,0,24,10,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\client\model\Windows.java,com.mongodb.client.model.Windows$SimpleWindow,innerclass,10,10,0,10,10,1,0,12,0,0.33333334,1,1,5,0,4,0,0,1,5,0,0,0,6,2,0,4,0,2,6,0,1,43,6,0,5,0,0,8,0,8,2,8,1,0,0,0,45,10,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\internal\VisibleForTesting.java,com.mongodb.internal.VisibleForTesting$AccessModifier,enum,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\client\model\search\PathBoostSearchScore.java,com.mongodb.client.model.search.PathBoostSearchScore,interface,4,7,3,4,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-reactive-streams\src\test\functional\com\mongodb\reactivestreams\client\ClientSideEncryptionNotSpawnMongocryptdTest.java,com.mongodb.reactivestreams.client.ClientSideEncryptionNotSpawnMongocryptdTest,class,5,5,0,5,1,2,0,1,0,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0
E:\Sowmya_git_projects\mongo-java-driver\driver-legacy\src\test\functional\com\mongodb\client\LegacyDatabaseTestCase.java,com.mongodb.client.LegacyDatabaseTestCase,class,13,14,1,13,10,1,0,14,7,0.6666667,0.33333334,0.47619048,7,0,2,0,5,0,7,0,0,0,3,0,0,0,3,0,0,0,5,39,5,0,2,1,0,1,1,3,1,3,1,0,0,0,43,1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-sync\src\test\functional\com\mongodb\client\ClientEncryptionRewrapManyDataKeyProseTest.java,com.mongodb.client.ClientEncryptionRewrapManyDataKeyProseTest,class,6,6,0,6,2,2,0,2,1,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-sync\src\main\com\mongodb\client\internal\ChangeStreamIterableImpl.java,com.mongodb.client.internal.ChangeStreamIterableImpl$Anonymous1,anonymous,9,9,0,9,4,1,0,5,6,0,0,0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\internal\connection\DefaultConnectionPool.java,com.mongodb.internal.connection.DefaultConnectionPool$ServiceStateManager,innerclass,3,3,0,3,8,1,0,7,0,0,1,1,4,0,0,0,0,4,4,0,0,0,1,0,0,1,0,0,1,0,0,44,4,0,4,0,0,0,2,4,0,7,2,0,1,2,65,24,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\test\unit\com\mongodb\internal\connection\StreamFactoryHelperTest.java,com.mongodb.internal.connection.StreamFactoryHelperTest,class,6,6,0,6,1,1,0,10,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,2,0,2,0,0,0,0,23,0,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\internal\connection\TlsChannelStreamFactoryFactory.java,com.mongodb.internal.connection.TlsChannelStreamFactoryFactory$TlsChannelStream,innerclass,24,24,0,24,13,2,0,36,0,0.25,1,1,3,0,1,1,0,1,2,0,0,0,4,0,0,4,0,0,4,0,7,113,1,0,1,3,0,5,3,9,0,9,4,0,2,1,69,10,0
