file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Sowmya_git_projects\cloudstack\core\src\main\java\com\cloud\agent\api\ChangeAgentAnswer.java,com.cloud.agent.api.ChangeAgentAnswer,class,2,2,0,2,2,2,0,0,1,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
E:\Sowmya_git_projects\cloudstack\api\src\main\java\com\cloud\storage\MigrationOptions.java,com.cloud.storage.MigrationOptions,class,3,3,0,3,12,1,0,0,40,0.7916667,0.1969697,0.56060606,12,0,12,0,0,0,12,0,0,0,8,0,0,8,0,0,0,0,0,55,8,0,0,0,0,0,0,12,0,8,0,0,1,0,26,1,0
E:\Sowmya_git_projects\cloudstack\utils\src\test\java\com\cloud\utils\rest\HttpUriRequestMethodMatcher.java,com.cloud.utils.rest.HttpUriRequestMethodMatcher,class,4,6,2,4,3,2,0,3,3,0,0,0,3,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,2,0,0,0,0,0,0,0,0,16,1,0
E:\Sowmya_git_projects\cloudstack\engine\schema\src\main\java\com\cloud\upgrade\dao\DbUpgradeUtils.java,com.cloud.upgrade.dao.DbUpgradeUtils,class,1,17,16,1,9,1,0,8,0,0,1,1,5,5,5,0,0,0,5,0,0,0,1,1,0,1,0,0,0,0,0,27,0,2,0,0,0,0,0,2,0,2,2,0,0,0,32,1,0
E:\Sowmya_git_projects\cloudstack\engine\schema\src\main\java\com\cloud\network\dao\NetworkAccountDaoImpl.java,com.cloud.network.dao.NetworkAccountDaoImpl,class,6,6,0,6,2,2,0,8,0,0,1,1,2,0,1,0,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,14,1,0,0,0,0,2,0,2,0,2,0,0,0,0,19,1,0
E:\Sowmya_git_projects\cloudstack\server\src\main\java\org\apache\cloudstack\cluster\ClusterDrsServiceImpl.java,org.apache.cloudstack.cluster.ClusterDrsServiceImpl,class,49,52,3,49,102,2,0,140,192,0.88000005,0.1660079,0.41897234,25,0,11,2,0,12,23,0,0,0,14,1,0,1,0,13,1,0,36,459,21,19,30,13,4,37,22,109,13,115,4,1,0,4,280,1,12
E:\Sowmya_git_projects\cloudstack\api\src\main\java\org\apache\cloudstack\api\command\admin\vlan\DedicatePublicIpRangeCmd.java,org.apache.cloudstack.api.command.admin.vlan.DedicatePublicIpRangeCmd,class,8,8,0,8,7,2,0,5,15,0.8333333,0,0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,0,0,0,32,5,0,1,0,0,7,0,2,0,6,1,0,0,0,53,1,0
E:\Sowmya_git_projects\cloudstack\plugins\hypervisors\kvm\src\main\java\com\cloud\hypervisor\kvm\resource\LibvirtVMDef.java,com.cloud.hypervisor.kvm.resource.LibvirtVMDef$RngDef$RngBackendModel,enum,0,0,0,0,2,1,0,0,0,0,1,1,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,8,1,0,0,0,0,2,0,1,0,1,0,0,0,0,15,0,0
E:\Sowmya_git_projects\cloudstack\core\src\main\java\com\cloud\agent\api\PingTestCommand.java,com.cloud.agent.api.PingTestCommand,class,1,1,0,1,7,2,0,1,15,0.7142857,0.14285715,0.1904762,7,0,7,0,0,0,7,0,0,0,3,0,0,0,0,3,0,0,0,28,4,0,0,0,0,0,2,6,0,3,0,0,0,0,22,1,0
E:\Sowmya_git_projects\cloudstack\engine\schema\src\main\java\com\cloud\dc\dao\ClusterVSMMapDao.java,com.cloud.dc.dao.ClusterVSMMapDao,interface,2,3,1,2,4,1,0,0,6,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
